STATION,NAME,DATE,AWND,AWND_Change,EVAP,MNPN,MXPN,PGTM,PRCP,PRCP_Change,PSUN,SN51,SN52,SN52_Change,SNOW,SNOW_Change,SNWD,SNWD_Change,SX52,SX52_Change,TAVG,TMAX,TMAX_Change,TMIN,TMIN_Change,TSUN,WDF2,WDF2_Change,WDF5,WDF5_Change,WDMV,WESD,WSF2,WSF2_Change,WSF5,WSF5_Change,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09,WT11,WT13,WT16,WT17,WT18,WT19,WT22
USW00014607,"CARIBOU WEATHER FORECAST OFFICE, ME US",2012/1/19,4.25,-10.51,,,,,0,-0.3,,,27,-1,0,-1.3,8,0,32,0,,8,-26,-9,-13,,340,90,330,80,,,10.1,-21.9,13,-32,,,,,,,,,,,,,,,
USW00014607,"CARIBOU WEATHER FORECAST OFFICE, ME US",2012/1/20,5.14,0.89,,,,,0.24,0.24,,,31,4,3.5,3.5,8,0,31,-1,,19,11,-7,2,,320,-20,320,-10,,,17,6.9,19.9,6.9,,1,,,,,,,,1,,,1,,1
USW00014607,"CARIBOU WEATHER FORECAST OFFICE, ME US",2012/1/21,2.68,-2.46,,,,,0,-0.24,,,31,0,0,-3.5,11,3,32,1,,7,-12,-13,-6,,290,-30,290,-30,,,8.1,-8.9,10.1,-9.8,,,,,,,,,,1,,,1,,
USW00014607,"CARIBOU WEATHER FORECAST OFFICE, ME US",2012/1/22,1.79,-0.89,,,,,0,0,,,31,0,0,0,11,0,34,2,,11,4,-23,-10,,150,-140,160,-130,,,6.9,-1.2,8.1,-2,,,,,,,1,,,1,,,,,
USW00014607,"CARIBOU WEATHER FORECAST OFFICE, ME US",2012/1/23,6.71,4.92,,,,,0.09,0.09,,,28,-3,0,0,11,0,37,3,,35,24,9,32,,160,10,150,-10,,,14.1,7.2,17.9,9.8,,,,,,,,,,1,1,1,,1,
USW00014607,"CARIBOU WEATHER FORECAST OFFICE, ME US",2012/1/24,7.83,1.12,,,,,0.36,0.27,,,29,1,0,0,8,-3,32,-5,,42,7,34,25,,150,-10,160,10,,,16.1,2,23.9,6,1,1,,,,,,,,1,1,,,,
USW00014607,"CARIBOU WEATHER FORECAST OFFICE, ME US",2012/1/25,11.18,3.35,,,,,0,-0.36,,,30,1,0,0,6,-2,32,0,,34,-8,16,-18,,330,180,290,130,,,19.9,3.8,25.9,2,,,,,,,,,,,,,1,,
USW00014607,"CARIBOU WEATHER FORECAST OFFICE, ME US",2012/1/26,6.49,-4.69,,,,,0,0,,,31,1,0,0,6,0,33,1,,21,-13,6,-10,,320,-10,290,0,,,15,-4.9,17.9,-8,,,,,,,1,,,,,,1,,
USW00014607,"CARIBOU WEATHER FORECAST OFFICE, ME US",2012/1/27,6.93,0.44,,,,,0.87,0.87,,,30,-1,8.4,8.4,15,9,34,1,,23,2,6,0,,70,-250,70,-220,,,15,0,21.9,4,,1,,,,,,,,,1,1,1,,
USW00014607,"CARIBOU WEATHER FORECAST OFFICE, ME US",2012/1/28,9.62,2.69,,,,,0.06,-0.81,,,32,2,0.2,-8.2,15,0,34,0,,29,6,16,10,,320,250,330,260,,,23.9,8.9,30,8.1,,,,,,,,,,1,,,1,,
USW00014607,"CARIBOU WEATHER FORECAST OFFICE, ME US",2012/1/29,11.41,1.79,,,,,0.05,-0.01,,,32,0,0.6,0.4,15,0,34,0,,32,3,19,3,,250,-70,240,-90,,,29.1,5.2,40,10,1,,,,,,,,,1,,,1,1,
USW00014607,"CARIBOU WEATHER FORECAST OFFICE, ME US",2012/1/30,6.93,-4.48,,,,,0,-0.05,,,31,-1,0,-0.6,14,-1,33,-1,,21,-11,3,-16,,330,80,330,90,,,14.1,-15,17,-23,,,,,,,,,,1,,,1,,
USW00014607,"CARIBOU WEATHER FORECAST OFFICE, ME US",2012/1/31,1.79,-5.14,,,,,0.01,0.01,,,31,0,0.1,0.1,14,0,32,-1,,13,-8,-12,-15,,30,-300,30,-300,,,6,-8.1,6.9,-10.1,,,,,,,,,,,,,1,,
USW00014607,"CARIBOU WEATHER FORECAST OFFICE, ME US",2012/2/1,7.61,5.82,,,,,0.56,0.55,,,27,-4,6.6,6.5,15,1,34,2,,19,6,9,21,,90,60,80,50,,,14.1,8.1,19.9,13,,1,,,,,1,,,,,,1,,1
USW00014607,"CARIBOU WEATHER FORECAST OFFICE, ME US",2012/2/2,6.93,-0.68,,,,,0,-0.56,,,29,2,0.2,-6.4,18,3,32,-2,,22,3,4,-5,,340,250,340,260,,,14.1,0,16.1,-3.8,,,,,,,1,,,1,,,1,,
USW00014607,"CARIBOU WEATHER FORECAST OFFICE, ME US",2012/2/3,4.92,-2.01,,,,,0,0,,,31,2,0,-0.2,17,-1,31,-1,,21,-1,-3,-7,,320,-20,330,-10,,,15,0.9,17,0.9,,,,,,,,,,,,,,,
USW00014607,"CARIBOU WEATHER FORECAST OFFICE, ME US",2012/2/4,8.28,3.36,,,,,0.01,0.01,,,30,-1,0.1,0.1,17,0,32,1,,21,0,6,9,,310,-10,320,-10,,,19.9,4.9,25.1,8.1,,,,,,,1,,,1,,,1,,
USW00014607,"CARIBOU WEATHER FORECAST OFFICE, ME US",2012/2/5,5.82,-2.46,,,,,0,-0.01,,,31,1,0,-0.1,17,0,33,1,,18,-3,-5,-11,,320,10,320,0,,,17.9,-2,23.9,-1.2,,,,,,,1,,,,,,1,,
USW00014607,"CARIBOU WEATHER FORECAST OFFICE, ME US",2012/2/6,8.05,2.23,,,,,0.02,0.02,,,30,-1,0.4,0.4,17,0,32,-1,,34,16,16,21,,340,20,340,20,,,15,-2.9,19.9,-4,1,,,,,,,,,1,,,1,,
USW00014607,"CARIBOU WEATHER FORECAST OFFICE, ME US",2012/2/7,10.29,2.24,,,,,0,-0.02,,,31,1,0,-0.4,16,-1,31,-1,,32,-2,-1,-17,,330,-10,320,-20,,,19.9,4.9,25.1,5.2,,,,,,,,,,,,,1,,
USW00014607,"CARIBOU WEATHER FORECAST OFFICE, ME US",2012/2/8,6.04,-4.25,,,,,0,0,,,31,0,0,0,16,0,31,0,,26,-6,-15,-14,,220,-110,210,-110,,,17,-2.9,23,-2.1,,,,,,,,,,,,,,,
USW00014607,"CARIBOU WEATHER FORECAST OFFICE, ME US",2012/2/9,4.25,-1.79,,,,,0,0,,,31,0,0,0,15,-1,31,0,,31,5,6,21,,240,20,250,40,,,14.1,-2.9,17,-6,,,,,,,,,,,,,,,
USW00014607,"CARIBOU WEATHER FORECAST OFFICE, ME US",2012/2/10,4.03,-0.22,,,,,0,0,,,31,0,0,0,15,0,31,0,,40,9,3,-3,,220,-20,210,-40,,,17.9,3.8,23.9,6.9,,,,,,,,,,,,,,,
USW00014607,"CARIBOU WEATHER FORECAST OFFICE, ME US",2012/2/11,10.07,6.04,,,,,0,0,,,30,-1,0,0,15,0,31,0,,26,-14,1,-2,,340,120,340,130,,,17.9,0,23,-0.9,,,,,,,1,,,,,,1,,
USW00014607,"CARIBOU WEATHER FORECAST OFFICE, ME US",2012/2/12,14.32,4.25,,,,,0,0,,,30,0,0,0,15,0,30,-1,,6,-20,-8,-9,,330,-10,320,-20,,,25.1,7.2,32,9,,,,,,,,,,,,,,,
USW00014607,"CARIBOU WEATHER FORECAST OFFICE, ME US",2012/2/13,7.16,-7.16,,,,,0,0,,,30,0,0,0,15,0,30,0,,8,2,-14,-6,,290,-40,300,-20,,,17,-8.1,25.9,-6.1,,,,,,,,,,,,,,,
USW00014607,"CARIBOU WEATHER FORECAST OFFICE, ME US",2012/2/14,4.92,-2.24,,,,,0,0,,,30,0,0,0,15,0,30,0,,26,18,-15,-1,,170,-120,170,-130,,,15,-2,17.9,-8,,,,,,,1,,,,,,,,
USW00014607,"CARIBOU WEATHER FORECAST OFFICE, ME US",2012/2/15,2.01,-2.91,,,,,0,0,,,30,0,0,0,15,0,31,1,,38,12,21,36,,250,80,160,-10,,,8.1,-6.9,10.1,-7.8,,,,,,,,,,,,,,,
USW00014607,"CARIBOU WEATHER FORECAST OFFICE, ME US",2012/2/16,2.46,0.45,,,,,0.01,0.01,,,31,1,0,0,14,-1,32,1,,35,-3,26,5,,190,-60,190,30,,,8.9,0.8,13,2.9,,,,,,,,,,1,,,1,,
USW00014607,"CARIBOU WEATHER FORECAST OFFICE, ME US",2012/2/17,7.38,4.92,,,,,0.17,0.16,,,31,0,1.8,1.8,14,0,32,0,,33,-2,30,4,,160,-30,160,-30,,,16.1,7.2,21.9,8.9,,,,,,,,,,1,,,1,,1
USW00014607,"CARIBOU WEATHER FORECAST OFFICE, ME US",2012/2/18,7.38,0,,,,,0,-0.17,,,31,0,0,-1.8,15,1,32,0,,35,2,18,-12,,340,180,340,180,,,17,0.9,21,-0.9,,,,,,,,,,,,,1,,
USW00014607,"CARIBOU WEATHER FORECAST OFFICE, ME US",2012/2/19,9.62,2.24,,,,,0,0,,,31,0,0,0,15,0,32,0,,27,-8,9,-9,,330,-10,320,-20,,,21.9,4.9,28,7,,,,,,,,,,,,,,,
USW00014607,"CARIBOU WEATHER FORECAST OFFICE, ME US",2012/2/20,10.51,0.89,,,,,0,0,,,30,-1,0,0,15,0,31,-1,,19,-8,2,-7,,330,0,330,10,,,23,1.1,29.1,1.1,,,,,,,,,,,,,,,
USW00014607,"CARIBOU WEATHER FORECAST OFFICE, ME US",2012/2/21,5.14,-5.37,,,,,0,0,,,30,0,0,0,15,0,31,0,,31,12,-4,-6,,180,-150,160,-170,,,12.1,-10.9,15,-14.1,,,,,,,,,,,,,,,
USW00014607,"CARIBOU WEATHER FORECAST OFFICE, ME US",2012/2/22,4.92,-0.22,,,,,0.02,0.02,,,30,0,0.2,0.2,14,-1,31,0,,36,5,23,27,,170,-10,150,-10,,,10.1,-2,14.1,-0.9,,,,,,,,,,1,1,,1,1,
USW00014607,"CARIBOU WEATHER FORECAST OFFICE, ME US",2012/2/23,6.71,1.79,,,,,0.28,0.26,,,30,0,3,2.8,15,1,31,0,,35,-1,31,8,,310,140,310,160,,,19.9,9.8,28,13.9,1,1,,,,,,,,1,,,1,,
USW00014607,"CARIBOU WEATHER FORECAST OFFICE, ME US",2012/2/24,6.26,-0.45,,,,,0.15,-0.13,,,30,0,2,-1,15,0,31,0,,40,5,27,-4,,310,0,310,0,,,16.1,-3.8,21.9,-6.1,1,,,,,,,,,1,,,1,,
USW00014607,"CARIBOU WEATHER FORECAST OFFICE, ME US",2012/2/25,13.65,7.39,,,,,0.87,0.72,,,29,-1,11,9,25,10,33,2,,34,-6,28,1,,310,0,300,-10,,,23,6.9,32,10.1,,1,,,,,,,,1,,,1,,1
USW00014607,"CARIBOU WEATHER FORECAST OFFICE, ME US",2012/2/26,16.33,2.68,,,,,0,-0.87,,,30,1,0,-11,23,-2,32,-1,,31,-3,3,-25,,310,0,320,20,,,30,7,40,8,,,,,,,,,,,,,1,1,
USW00014607,"CARIBOU WEATHER FORECAST OFFICE, ME US",2012/2/27,3.58,-12.75,,,,,0.14,0.14,,,30,0,2.6,2.6,22,-1,31,-1,,13,-18,-3,-6,,300,-10,310,-10,,,12.1,-17.9,14.1,-25.9,,,,,,,,,,1,,,1,,
USW00014607,"CARIBOU WEATHER FORECAST OFFICE, ME US",2012/2/28,7.16,3.58,,,,,0.08,-0.06,,,28,-2,1.3,-1.3,26,4,34,3,,22,9,6,9,,330,30,340,30,,,16.1,4,19.9,5.8,,,,,,,,,,1,,,1,,
USW00014607,"CARIBOU WEATHER FORECAST OFFICE, ME US",2012/2/29,4.92,-2.24,,,,,0,-0.08,,,29,1,0,-1.3,25,-1,33,-1,,24,2,4,-2,,320,-10,310,-30,,,13,-3.1,15,-4.9,,,,,,,,,,1,,,1,,
USW00014607,"CARIBOU WEATHER FORECAST OFFICE, ME US",2012/3/1,6.49,1.57,,,,,0,0,,,30,1,0,0,25,0,32,-1,,19,-5,-1,-5,,60,-260,60,-250,,,13,0,16.1,1.1,,,,,,,,,,,,,,,
USW00014607,"CARIBOU WEATHER FORECAST OFFICE, ME US",2012/3/2,5.82,-0.67,,,,,0,0,,,31,1,0,0,24,-1,33,1,,25,6,2,3,,160,100,150,90,,,10.1,-2.9,14.1,-2,,,,,,,,,,,,,,,
USW00014607,"CARIBOU WEATHER FORECAST OFFICE, ME US",2012/3/3,8.72,2.9,,,,,0.39,0.39,,,32,1,5.3,5.3,24,0,32,-1,,32,7,22,20,,150,-10,160,10,,,23,12.9,30,15.9,1,1,,,,,,,,,,,1,,1
USW00014607,"CARIBOU WEATHER FORECAST OFFICE, ME US",2012/3/4,8.95,0.23,,,,,0,-0.39,,,32,0,0,-5.3,27,3,32,0,,39,7,24,2,,240,90,230,70,,,17,-6,25.9,-4.1,1,,,,,,,,,1,,,1,,
USW00014607,"CARIBOU WEATHER FORECAST OFFICE, ME US",2012/3/5,9.62,0.67,,,,,0.08,0.08,,,31,-1,1.4,1.4,26,-1,32,0,,25,-14,9,-15,,330,90,340,110,,,16.1,-0.9,19.9,-6,,,,,,,1,,,1,,,1,,
USW00014607,"CARIBOU WEATHER FORECAST OFFICE, ME US",2012/3/6,2.91,-6.71,,,,,0,-0.08,,,31,0,0,-1.4,25,-1,32,0,,28,3,-1,-10,,320,-10,320,-20,,,12.1,-4,13,-6.9,,,,,,,,,,,,,,,
USW00014607,"CARIBOU WEATHER FORECAST OFFICE, ME US",2012/3/7,7.61,4.7,,,,,0,0,,,31,0,0,0,25,0,32,0,,42,14,1,2,,180,-140,180,-140,,,17,4.9,23.9,10.9,,,,,,,1,,,,,,,,
USW00014607,"CARIBOU WEATHER FORECAST OFFICE, ME US",2012/3/8,10.29,2.68,,,,,0.04,0.04,,,32,1,0,0,24,-1,32,0,,58,16,35,34,,180,0,260,80,,,19.9,2.9,28,4.1,1,,,,,,,,,1,1,,,,
USW00014607,"CARIBOU WEATHER FORECAST OFFICE, ME US",2012/3/9,12.3,2.01,,,,,0.13,0.09,,,31,-1,0.7,0.7,18,-6,33,1,,46,-12,15,-20,,310,130,290,30,,,23,3.1,34.9,6.9,,,,,,,,,,1,1,,1,,1
USW00014607,"CARIBOU WEATHER FORECAST OFFICE, ME US",2012/3/10,4.7,-7.6,,,,,0,-0.13,,,31,0,0,-0.7,18,0,33,0,,28,-18,7,-8,,320,10,320,30,,,12.1,-10.9,16.1,-18.8,,,,,,,,,,,,,,,
USW00014607,"CARIBOU WEATHER FORECAST OFFICE, ME US",2012/3/11,3.13,-1.57,,,,,0,0,,,32,1,0,0,17,-1,33,0,,38,10,4,-3,,200,-120,210,-110,,,12.1,0,16.1,0,,,,,,,,,,,,,,,
USW00014607,"CARIBOU WEATHER FORECAST OFFICE, ME US",2012/3/12,4.03,0.9,,,,,0,0,,,32,0,0,0,17,0,33,0,,49,11,17,13,,320,120,330,120,,,15,2.9,19.9,3.8,,,,,,,,,,,,,,,
USW00014607,"CARIBOU WEATHER FORECAST OFFICE, ME US",2012/3/13,7.61,3.58,,,,,0.15,0.15,,,32,0,0.9,0.9,16,-1,33,0,,37,-12,24,7,,90,-230,100,-230,,,17,2,25.1,5.2,,,,,,,,,,,1,1,1,,1
USW00014607,"CARIBOU WEATHER FORECAST OFFICE, ME US",2012/3/14,8.5,0.89,,,,,0.55,0.4,,,32,0,10,9.1,17,1,32,-1,,29,-8,24,0,,50,-40,100,0,,,14.1,-2.9,17.9,-7.2,,1,,,,,,,,1,,,1,,1
USW00014607,"CARIBOU WEATHER FORECAST OFFICE, ME US",2012/3/15,5.59,-2.91,,,,,0.07,-0.48,,,32,0,1.5,-8.5,26,9,32,0,,34,5,19,-5,,10,-40,10,-90,,,12.1,-2,14.1,-3.8,,,,,,,,,,1,,,1,,
USW00014607,"CARIBOU WEATHER FORECAST OFFICE, ME US",2012/3/16,4.03,-1.56,,,,,0.05,-0.02,,,31,-1,0,-1.5,22,-4,33,1,,35,1,19,0,,330,320,330,320,,,19.9,7.8,23,8.9,,1,,,,,,,,,1,,1,,1
USW00014607,"CARIBOU WEATHER FORECAST OFFICE, ME US",2012/3/17,3.58,-0.45,,,,,0,-0.05,,,31,0,0,0,21,-1,34,1,,52,17,24,5,,330,0,320,-10,,,13,-6.9,17,-6,1,,,,,,,,,1,,,,,
USW00014607,"CARIBOU WEATHER FORECAST OFFICE, ME US",2012/3/18,8.05,4.47,,,,,0.02,0.02,,,30,-1,0,0,18,-3,33,-1,,64,12,37,13,,300,-30,300,-20,,,14.1,1.1,19.9,2.9,,,,,,,,,,,1,,,,
USW00014607,"CARIBOU WEATHER FORECAST OFFICE, ME US",2012/3/19,5.37,-2.68,,,,,0,-0.02,,,31,1,0,0,13,-5,33,0,,53,-11,39,2,,330,30,330,30,,,14.1,0,16.1,-3.8,,,,,,,,,,,,,,,
USW00014607,"CARIBOU WEATHER FORECAST OFFICE, ME US",2012/3/20,5.82,0.45,,,,,0,0,,,31,0,0,0,9,-4,33,0,,73,20,37,-2,,300,-30,300,-30,,,12.1,-2,17.9,1.8,,,,,,,,,,,,,,,
USW00014607,"CARIBOU WEATHER FORECAST OFFICE, ME US",2012/3/21,5.59,-0.23,,,,,0,0,,,32,1,0,0,2,-7,33,0,,75,2,43,6,,260,-40,260,-40,,,14.1,2,21.9,4,1,1,,,,,,,,1,,,,,
USW00014607,"CARIBOU WEATHER FORECAST OFFICE, ME US",2012/3/22,9.84,4.25,,,,,0,0,,,32,0,0,0,0,-2,33,0,,73,-2,46,3,,320,60,320,60,,,21.9,7.8,28,6.1,,,,,,,,,,,,,,,
USW00014607,"CARIBOU WEATHER FORECAST OFFICE, ME US",2012/3/23,14.09,4.25,,,,,0,0,,,32,0,0,0,0,0,33,0,,48,-25,28,-18,,330,10,300,-20,,,31.1,9.2,38.9,10.9,,,,,,,,,,,,,,,
USW00014607,"CARIBOU WEATHER FORECAST OFFICE, ME US",2012/3/24,11.18,-2.91,,,,,0,0,,,32,0,0,0,0,0,34,1,,42,-6,24,-4,,340,10,340,40,,,21,-10.1,30,-8.9,,,,,,,,,,,,,,,
USW00014607,"CARIBOU WEATHER FORECAST OFFICE, ME US",2012/3/25,5.37,-5.81,,,,,0.07,0.07,,,32,0,0.5,0.5,0,0,34,0,,36,-6,24,0,,230,-110,230,-110,,,15,-6,19.9,-10.1,,,,,,,,,,,1,1,1,,1
USW00014607,"CARIBOU WEATHER FORECAST OFFICE, ME US",2012/3/26,18.57,13.2,,,,,0,-0.07,,,32,0,0,-0.5,0,0,34,0,,36,0,19,-5,,340,110,320,90,,,29.1,14.1,42.9,23,1,,,,,,,,,1,1,,1,,
USW00014607,"CARIBOU WEATHER FORECAST OFFICE, ME US",2012/3/27,16.11,-2.46,,,,,0,0,,,32,0,0,0,0,0,33,-1,,31,-5,14,-5,,330,-10,340,20,,,31.1,2,40,-2.9,,,,,,,,,,,,,1,,
USW00014607,"CARIBOU WEATHER FORECAST OFFICE, ME US",2012/3/28,3.13,-12.98,,,,,0.03,0.03,,,30,-2,0.5,0.5,0,0,31,-2,,34,3,18,4,,210,-120,210,-130,,,14.1,-17,19.9,-20.1,,,,,,,,,,1,,,1,,1
USW00014607,"CARIBOU WEATHER FORECAST OFFICE, ME US",2012/3/29,6.93,3.8,,,,,0.01,-0.02,,,30,0,0.1,-0.4,1,1,33,2,,40,6,27,9,,310,100,300,90,,,15,0.9,21,1.1,1,,,,,,,,,1,,,1,,
USW00014607,"CARIBOU WEATHER FORECAST OFFICE, ME US",2012/3/30,11.41,4.48,,,,,0,-0.01,,,32,2,0,-0.1,0,-1,32,-1,,37,-3,27,0,,330,20,310,10,,,23,8,30,9,1,,,,,,,,,1,,,1,,
USW00014607,"CARIBOU WEATHER FORECAST OFFICE, ME US",2012/3/31,7.38,-4.03,,,,,0,0,,,32,0,0,0,0,0,33,1,,43,6,24,-3,,330,0,300,-10,,,17,-6,21.9,-8.1,,,,,,,,,,,,,,,
USW00014607,"CARIBOU WEATHER FORECAST OFFICE, ME US",2012/4/1,2.91,-4.47,,,,,0,0,,,32,0,0,0,0,0,32,-1,,48,5,21,-3,,180,-150,180,-120,,,12.1,-4.9,17,-4.9,,,,,,,,,,,,,,,
USW00014607,"CARIBOU WEATHER FORECAST OFFICE, ME US",2012/4/2,8.28,5.37,,,,,0,0,,,32,0,0,0,0,0,33,1,,45,-3,28,7,,330,150,340,160,,,21.9,9.8,29.1,12.1,,,,,,,,,,,,,,,
USW00014607,"CARIBOU WEATHER FORECAST OFFICE, ME US",2012/4/3,11.41,3.13,,,,,0,0,,,32,0,0,0,0,0,33,0,,46,1,28,0,,330,0,330,-10,,,21.9,0,29.1,0,,,,,,,,,,,,,,,
USW00014607,"CARIBOU WEATHER FORECAST OFFICE, ME US",2012/4/4,8.28,-3.13,,,,,0.1,0.1,,,32,0,0.6,0.6,0,0,34,1,,38,-8,29,1,,330,0,330,0,,,19.9,-2,25.1,-4,,,,,,,,,,1,1,,1,,1
USW00014607,"CARIBOU WEATHER FORECAST OFFICE, ME US",2012/4/5,13.42,5.14,,,,,0,-0.1,,,32,0,0,-0.6,0,0,33,-1,,40,2,31,2,,340,10,320,-10,,,23.9,4,32,6.9,,,,,,,,,,,,,1,,
USW00014607,"CARIBOU WEATHER FORECAST OFFICE, ME US",2012/4/6,8.28,-5.14,,,,,0,0,,,32,0,0,0,0,0,33,0,,45,5,27,-4,,330,-10,330,10,,,19.9,-4,23.9,-8.1,,,,,,,,,,,,,,,
USW00014607,"CARIBOU WEATHER FORECAST OFFICE, ME US",2012/4/7,8.95,0.67,,,,,0,0,,,31,-1,0,0,0,0,34,1,,38,-7,28,1,,360,30,10,-320,,,17,-2.9,21.9,-2,,,,,,,,,,,,,1,,
USW00014607,"CARIBOU WEATHER FORECAST OFFICE, ME US",2012/4/8,10.51,1.56,,,,,0.56,0.56,,,31,0,6.2,6.2,1,1,33,-1,,35,-3,31,3,,330,-30,340,330,,,21.9,4.9,29.1,7.2,1,1,,,,,,,,,1,,1,,
USW00014607,"CARIBOU WEATHER FORECAST OFFICE, ME US",2012/4/9,3.8,-6.71,,,,,0.05,-0.51,,,33,2,0.4,-5.8,4,3,33,0,,41,6,30,-1,,210,-120,210,-130,,,8.9,-13,13,-16.1,1,,,,,,,,,1,1,,1,,
USW00014607,"CARIBOU WEATHER FORECAST OFFICE, ME US",2012/4/10,1.34,-2.46,,,,,0.08,0.03,,,32,-1,0,-0.4,1,-3,34,1,,47,6,26,-4,,330,120,330,120,,,12.1,3.2,14.1,1.1,,1,,,,,,,,,1,,1,,1
